MOLECULE,SMILES
DNP,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
3AD, OCCC1=C[C@H]2C[C@@H](C1)C=C(CCC(NC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C2
3AS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCC(NC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C2
3CD,OCCC1=C[C@H]2C[C@@H](C1)C=C(CCC(C3=CC([C@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C2
3CS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCC(C3=CC([C@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C2
3ED,OCCC1=C[C@H]2C[C@@H](C1)C=C(CCCOC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)C2
3ES,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCCOC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)C2
3HD,OCCC1=C[C@H]2C[C@@H](C1)C=C(CCCC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)C2
3HS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCCC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)C2
3SD,OCCC1=C[C@H]2C[C@@H](C1)C=C(CCC(OC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C2
3SS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCC(OC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C2
5AD,OCCC1=C[C@H]2CC(C1)C=C(CCCCC(NC3=CC=C4C([C@@H]([NH2+]CC#C)CC4)=C3)=O)C2
5AS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCCCC(NC3=CC=C4C([C@@H]([NH2+]CC#C)CC4)=C3)=O)C2
5CD,OCCC1=C[C@H]2CC(C1)C=C(CCCCC(C3=CC=C(CC[C@H]4[NH2+]CC#C)C4=C3)=O)C2
5CS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCCCC(C3=CC=C(CC[C@H]4[NH2+]CC#C)C4=C3)=O)C2
5ED,OCCC1=C[C@H]2CC(C1)C=C(CCCCCOC3=CC=C4C([C@@H]([NH2+]CC#C)CC4)=C3)C2
5ES,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCCCCOC3=CC=C4C([C@@H]([NH2+]CC#C)CC4)=C3)C2
5HD,OCCC1=C[C@H]2CC(C1)C=C(CCCCCC3=CC=C(CC[C@H]4[NH2+]CC#C)C4=C3)C2
5HS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCCCCC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)C2
5SD,OCCC1=C[C@H]2CC(C1)C=C(CCCCC(OC3=CC=C4C([C@@H]([NH2+]CC#C)CC4)=C3)=O)C2
5SS,OCCC1=C[C@H]2C[C@@H](C1)C[C@H](CCCCC(OC3=CC=C4C([C@@H]([NH2+]CC#C)CC4)=C3)=O)C2
SAD,OCCC1=C[C@@H]2C(CCC(NC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)=C[C@H]1C2
SAS,OCCC1=C[C@H]2[C@@H](CCC(NC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C[C@@H]1C2
SCD,OCCC1=C[C@@H]2C(CCC(C3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)=C[C@H]1C2
SCS,OCCC1=C[C@H]2[C@@H](CCC(C3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)C[C@@H]1C2
SED,OCCC1=C[C@@H]2C(CCC(OC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=O)=C[C@H]1C2
SES,OCCC1=C[C@@H]2[C@@H](CCCOC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)C[C@H]1C2
SHD,OCCC1=C[C@H]2C(CCCC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=C[C@@H]1C2
SHS,OCCC1=C[C@@H]2[C@@H](CCCC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)C[C@H]1C2
SSD,OCCC1=C[C@H]2C(CCCOC3=CC([C@@H]([NH2+]CC#C)CC4)=C4C=C3)=C[C@@H]1C2
SSS,OCCC1=C[C@H]2[C@H](C[C@@H]1C2)CCC(OC3=CC4=C(C=C3)CC[C@@H]4[NH2+]CC#C)=O